base_currency_short_name,target_currency_short_name,binance_currency_pair_name,inr_conversion_charge,coindcx_name,target_currency_name,base_currency_name,step,min_quantity,symbol,ecode,max_leverage,max_leverage_short,pair
ETH,GRS,GRSETH,,GRSETH,Groestlcoin,Ethereum,1,1,GRSETH,B,5,,B-GRS_ETH
BNB,NXS,NXSBNB,,NXSBNB,Nexus,Binance Coin,0.1,0.1,NXSBNB,B,,,B-NXS_BNB
BNB,LOOM,LOOMBNB,,LOOMBNB,Loom Network,Binance Coin,1,1,LOOMBNB,B,,,B-LOOM_BNB
USDT,BULL,BULLUSDT,,BULLUSDT,3x Long Bitcoin Token,Tether,1.00E-06,1.00E-06,BULLUSDT,B,2,,B-BULL_USDT
USDT,USDS,USDSUSDT,,USDSUSDT,Stable USD,Tether,0.01,0.01,USDSUSDT,B,,,B-USDS_USDT
ETH,NAV,NAVETH,,NAVETH,NavCoin,Ethereum,0.01,0.01,NAVETH,B,5,,B-NAV_ETH
INR,CND,CNDINR,,CNDINR,Cindicator,Indian Rupee,1,1,CNDINR,B,,,B-CND_INR
TUSD,BCPT,BCPTTUSD,,BCPTTUSD,BlockMason Credit Protocol,True USD,0.1,0.1,BCPTTUSD,B,,,B-BCPT_TUSD
USDT,XRPBEAR,XRPBEARUSDT,,XRPBEARUSDT,3x Short XRP Token,Tether,1.00E-05,1.00E-05,XRPBEARUSDT,B,2,,B-XRPBEAR_USDT
ETH,YOYO,YOYOETH,,YOYOETH,Yoyow,Ethereum,1,1,YOYOETH,B,5,,B-YOYO_ETH
ETH,WPR,WPRETH,,WPRETH,WePower,Ethereum,1,1,WPRETH,B,5,,B-WPR_ETH
INR,LTC,LTCINR,,LTCINR,Litecoin,Indian Rupee,0.0001,0.0001,LTCINR,B,,,B-LTC_INR
USDT,STEEM,STEEMUSDT,,STEEMUSDT,STEEM,Tether,0.0001,0.01,STEEMUSDT,H,,,H-STEEM_USDT
BTC,STORM,STORMBTC,,STORMBTC,Storm,Bitcoin,1,1,STORMBTC,B,4,,B-STORM_BTC
ETH,DLT,DLTETH,,DLTETH,Delta,Ethereum,1,1,DLTETH,B,5,,B-DLT_ETH
BNB,AGI,AGIBNB,,AGIBNB,Singularity NET,Binance Coin,1,1,AGIBNB,B,,,B-AGI_BNB
BTC,[OLD]BCH,[OLD]BCHBTC,,[OLD]BCHBTC,[OLD]Bitcoin Cash,Bitcoin,0.001,0.001,[OLD]BCHBTC,HB,,,HB-[OLD]BCH_BTC
BNB,NEBL,NEBLBNB,,NEBLBNB,Neblio,Binance Coin,0.1,0.1,NEBLBNB,B,,,B-NEBL_BNB
TUSD,GTO,GTOTUSD,,GTOTUSD,Gifto,True USD,0.1,0.1,GTOTUSD,B,,,B-GTO_TUSD
TUSD,WAVES,WAVESTUSD,,WAVESTUSD,Waves,True USD,0.01,0.01,WAVESTUSD,B,,,B-WAVES_TUSD
BTC,LEND,LENDBTC,,LENDBTC,ETHLend,Bitcoin,1,1,LENDBTC,B,4,,B-LEND_BTC
BNB,AMB,AMBBNB,,AMBBNB,Amber,Binance Coin,1,1,AMBBNB,B,,,B-AMB_BNB
TUSD,ONE,ONETUSD,,ONETUSD,Harmony,True USD,0.1,0.1,ONETUSD,B,,,B-ONE_TUSD
ETH,DOCK,DOCKETH,,DOCKETH,Dock,Ethereum,1,1,DOCKETH,B,3,,B-DOCK_ETH
BNB,POWR,POWRBNB,,POWRBNB,Power Ledger,Binance Coin,0.1,0.1,POWRBNB,B,,,B-POWR_BNB
BNB,BCN,BCNBNB,,BCNBNB,Bytecoin,Binance Coin,1,1,BCNBNB,B,,,B-BCN_BNB
ETH,EVX,EVXETH,,EVXETH,Everex,Ethereum,1,1,EVXETH,B,4,,B-EVX_ETH
BNB,SKY,SKYBNB,,SKYBNB,Skycoin,Binance Coin,0.1,0.1,SKYBNB,B,,,B-SKY_BNB
INR,BAT,BATINR,,BATINR,Basic Attention Token,Indian Rupee,0.0001,0.0001,BATINR,B,,,B-BAT_INR
BNB,NCASH,NCASHBNB,,NCASHBNB,Nucleus Vision,Binance Coin,1,1,NCASHBNB,B,,,B-NCASH_BNB
BNB,ADX,ADXBNB,,ADXBNB,AdEx,Binance Coin,1,1,ADXBNB,B,,,B-ADX_BNB
ETH,MKR,MKRETH,,MKRETH,Maker,Ethereum,0.0001,0.0001,MKRETH,HB,,,HB-MKR_ETH
BTC,DENT,DENTBTC,,DENTBTC,Dent,Bitcoin,1,1,DENTBTC,B,1,,B-DENT_BTC
ETH,WABI,WABIETH,,WABIETH,WaBi,Ethereum,1,1,WABIETH,B,5,,B-WABI_ETH
USDT,ETHBEAR,ETHBEARUSDT,,ETHBEARUSDT,3x Short Ethereum Token,Tether,1.00E-05,1.00E-05,ETHBEARUSDT,B,2,,B-ETHBEAR_USDT
BTC,GNT,GNTBTC,,GNTBTC,Golem,Bitcoin,1,1,GNTBTC,B,1,,B-GNT_BTC
BNB,QLC,QLCBNB,,QLCBNB,QLink,Binance Coin,1,1,QLCBNB,B,,,B-QLC_BNB
TUSD,FTM,FTMTUSD,,FTMTUSD,Fantom,True USD,0.1,0.1,FTMTUSD,B,,,B-FTM_TUSD
BTC,NOAH,NOAHBTC,,NOAHBTC,Noahcoin,Bitcoin,1000,1000,NOAHBTC,HB,,,HB-NOAH_BTC
ETH,MCO,MCOETH,,MCOETH,MCO,Ethereum,0.01,0.01,MCOETH,B,4,,B-MCO_ETH
INR,MCO,MCOINR,0.01,MCOINR,MCO,Indian Rupee,0.01,0.01,MCOINR,I,,,I-MCO_INR
BTC,XTZ,XTZBTC,,XTZBTC,Tezos,Bitcoin,0.1,0.1,XTZBTC,HB,6,,HB-XTZ_BTC
BNB,QSP,QSPBNB,,QSPBNB,Quantstamp,Binance Coin,1,1,QSPBNB,B,,,B-QSP_BNB
ETH,LUN,LUNETH,,LUNETH,Lunyr,Ethereum,0.01,0.01,LUNETH,B,5,,B-LUN_ETH
ETH,VIA,VIAETH,,VIAETH,Viacoin,Ethereum,0.01,0.01,VIAETH,B,5,,B-VIA_ETH
BNB,TUSD,TUSDBNB,,TUSDBNB,True USD,Binance Coin,0.1,0.1,TUSDBNB,B,,,B-TUSD_BNB
BTC,FUEL,FUELBTC,,FUELBTC,Etherparty,Bitcoin,1,1,FUELBTC,B,1,,B-FUEL_BTC
BNB,DAI,DAIBNB,,DAIBNB,Dai,Binance Coin,0.1,0.1,DAIBNB,B,,,B-DAI_BNB
BNB,REN,RENBNB,,RENBNB,Republic Protocol,Binance Coin,1,1,RENBNB,B,,,B-REN_BNB
ETH,RCN,RCNETH,,RCNETH,Ripio Credit Network,Ethereum,1,1,RCNETH,B,5,,B-RCN_ETH
BNB,XZC,XZCBNB,,XZCBNB,ZCoin,Binance Coin,0.01,0.01,XZCBNB,B,,,B-XZC_BNB
BTC,MKR,MKRBTC,,MKRBTC,Maker,Bitcoin,0.0001,0.0001,MKRBTC,HB,,,HB-MKR_BTC
BTC,LUN,LUNBTC,,LUNBTC,Lunyr,Bitcoin,0.01,0.01,LUNBTC,B,4,,B-LUN_BTC
INR,KNC,KNCINR,,KNCINR,Kyber Network,Indian Rupee,0.01,0.01,KNCINR,B,,,B-KNC_INR
ETH,XZC,XZCETH,,XZCETH,ZCoin,Ethereum,0.01,0.01,XZCETH,B,,,B-XZC_ETH
BTC,XZC,XZCBTC,,XZCBTC,ZCoin,Bitcoin,0.01,0.01,XZCBTC,B,,,B-XZC_BTC
BNB,COMP,COMPBNB,,COMPBNB,Compound,Binance Coin,0.001,0.001,COMPBNB,B,,,B-COMP_BNB
INR,OXT,,,OXTINR,Orchid,Indian Rupee,1,1,OXTINR,I,,,I-OXT_INR
INR,BAT,BATINR,,BATINR,Basic Attention Token,Indian Rupee,0.01,0.01,BATINR,I,,,I-BAT_INR
BTC,FOR,FORBTC,,FORBTC,The Force Protocol,Bitcoin,0.01,1,FORBTC,H,,,H-FOR_BTC
INR,DGTX,,,DGTXINR,Digitex Futures ,Indian Rupee,1,1,DGTXINR,I,,,I-DGTX_INR
ETH,CRV,CRVETH,,CRVETH,Curve,Ethereum,0.0001,0.01,CRVETH,H,,,H-CRV_ETH
USDT,TT,TTUSDT,,TTUSDT,Thunder Token,Tether,0.01,1,TTUSDT,H,,,H-TT_USDT
BTC,BSV,BSVBTC,,BSVBTC,Bitcoin SV,Bitcoin,0.0001,0.001,BSVBTC,H,,,H-BSV_BTC
BTC,ITC,ITCBTC,,ITCBTC,Iot Chain,Bitcoin,1,1,ITCBTC,H,,,H-ITC_BTC
BTC,AR,ARBTC,,ARBTC,Arweave,Bitcoin,0.01,0.001,ARBTC,H,,,H-AR_BTC
BTC,MTA,MTABTC,,MTABTC,Meta,Bitcoin,0.0001,0.01,MTABTC,H,,,H-MTA_BTC
BTC,NXT,NXTBTC,,NXTBTC,Nxt,Bitcoin,1,1,NXTBTC,HB,,,HB-NXT_BTC
INR,ADA,ADAINR,,ADAINR,Cardano,Indian Rupee,1,1,ADAINR,I,,,I-ADA_INR
ETH,NEST,NESTETH,,NESTETH,NEST Protocol,Ethereum,0.01,1,NESTETH,H,,,H-NEST_ETH
ETH,ANT,ANTETH,,ANTETH,Aragon,Ethereum,0.01,0.01,ANTETH,H,,,H-ANT_ETH
BTC,NEXO,NEXOBTC,,NEXOBTC,Nexo,Bitcoin,10,10,NEXOBTC,HB,,,HB-NEXO_BTC
INR,BTC,BTCINR,,BTCINR,Bitcoin,Indian Rupee,1.00E-05,1.00E-05,BTCINR,I,,,I-BTC_INR
BTC,CRPT,CRPTBTC,,CRPTBTC,Crypterium,Bitcoin,1,1,CRPTBTC,HB,,,HB-CRPT_BTC
INR,ETH,ETHINR,,ETHINR,Ethereum,Indian Rupee,0.0001,0.0001,ETHINR,I,,,I-ETH_INR
BTC,NEST,NESTBTC,,NESTBTC,NEST Protocol,Bitcoin,0.01,1,NESTBTC,H,,,H-NEST_BTC
ETH,TRB,TRBETH,,TRBETH,Tellor,Ethereum,0.0001,0.001,TRBETH,H,,,H-TRB_ETH
BTC,ARNX,ARNXBTC,,ARNXBTC,AeronX,Bitcoin,1,401,ARNXBTC,HB,,,HB-ARNX_BTC
ETH,WNXM,WNXMETH,,WNXMETH,Wrapped NXM,Ethereum,0.0001,0.001,WNXMETH,H,,,H-WNXM_ETH
BTC,ETN,ETNBTC,,ETNBTC,Electroneum,Bitcoin,0.01,1,ETNBTC,H,,,H-ETN_BTC
INR,XRP,XRPINR,,XRPINR,Ripple,Indian Rupee,1,1,XRPINR,I,,,I-XRP_INR
ETH,ATOM,ATOMETH,,ATOMETH,Cosmos,Ethereum,0.0001,0.01,ATOMETH,H,,,H-ATOM_ETH
INR,CKB,,,CKBINR,Nervos,Indian Rupee,1,1,CKBINR,I,,,I-CKB_INR
ETH,BAND,BANDETH,,BANDETH,Band Protocol,Ethereum,0.01,0.01,BANDETH,H,,,H-BAND_ETH
ETH,SC,SCETH,,SCETH,Siacoin,Ethereum,1,1,SCETH,B,1,,B-SC_ETH
ETH,FUEL,FUELETH,,FUELETH,Etherparty,Ethereum,1,1,FUELETH,B,5,,B-FUEL_ETH
USDT,BNBBEAR,BNBBEARUSDT,,BNBBEARUSDT,3X Short BNB Token,Tether,1.00E-05,1.00E-05,BNBBEARUSDT,B,3,,B-BNBBEAR_USDT
ETH,ARN,ARNETH,,ARNETH,Aeron,Ethereum,1,0,ARNETH,HB,,,HB-ARN_ETH
ETH,EDO,EDOETH,,EDOETH,Eidoo,Ethereum,0.01,0.01,EDOETH,B,5,,B-EDO_ETH
BTC,ARN,ARNBTC,,ARNBTC,Aeron,Bitcoin,1,0,ARNBTC,HB,,,HB-ARN_BTC
INR,OMG,OMGINR,,OMGINR,OmiseGO,Indian Rupee,0.01,0.01,OMGINR,B,,,B-OMG_INR
BTC,MBL,MBLBTC,,MBLBTC,MovieBloc,Bitcoin,1,1,MBLBTC,B,1,,B-MBL_BTC
BNB,CND,CNDBNB,,CNDBNB,Cindicator,Binance Coin,1,1,CNDBNB,B,,,B-CND_BNB
BNB,DLT,DLTBNB,,DLTBNB,Delta,Binance Coin,1,1,DLTBNB,B,,,B-DLT_BNB
BNB,GNT,GNTBNB,,GNTBNB,Golem,Binance Coin,1,1,GNTBNB,B,,,B-GNT_BNB
ETH,DGD,DGDETH,,DGDETH,DigixDAO,Ethereum,0.001,0.001,DGDETH,B,5,,B-DGD_ETH
ETH,SYS,SYSETH,,SYSETH,Syscoin,Ethereum,1,1,SYSETH,B,3,,B-SYS_ETH
ETH,HC,HCETH,,HCETH,HyperCash,Ethereum,0.01,0.01,HCETH,B,5,,B-HC_ETH
BNB,MCO,MCOBNB,,MCOBNB,Monaco,Binance Coin,0.1,0.1,MCOBNB,B,,,B-MCO_BNB
ETH,CND,CNDETH,,CNDETH,Cindicator,Ethereum,1,1,CNDETH,B,5,,B-CND_ETH
BTC,EDO,EDOBTC,,EDOBTC,Eidoo,Bitcoin,1,1,EDOBTC,B,4,,B-EDO_BTC
BNB,NULS,NULSBNB,,NULSBNB,Nuls,Binance Coin,0.1,0.1,NULSBNB,B,,,B-NULS_BNB
BNB,POLY,POLYBNB,,POLYBNB,Polymath,Binance Coin,1,1,POLYBNB,B,,,B-POLY_BNB
BNB,BZRX,BZRXBNB,,BZRXBNB,bZx Protocol,Binance Coin,0.1,0.1,BZRXBNB,B,,,B-BZRX_BNB
ETH,PPT,PPTETH,,PPTETH,Populous,Ethereum,0.01,0.01,PPTETH,B,5,,B-PPT_ETH
BNB,RCN,RCNBNB,,RCNBNB,Ripio Credit Network,Binance Coin,1,1,RCNBNB,B,,,B-RCN_BNB
TUSD,XLM,XLMTUSD,,XLMTUSD,Stellar Lumens,True USD,0.1,0.1,XLMTUSD,B,,,B-XLM_TUSD
BNB,HIVE,HIVEBNB,,HIVEBNB,Hive,Binance Coin,0.1,0.1,HIVEBNB,B,1,,B-HIVE_BNB
BNB,BAL,BALBNB,,BALBNB,Balancer,Binance Coin,0.01,0.01,BALBNB,B,,,B-BAL_BNB
BTC,SALT,SALTBTC,,SALTBTC,Salt,Bitcoin,0.01,1,SALTBTC,B,4,,B-SALT_BTC
BNB,STRAT,STRATBNB,,STRATBNB,Stratis,Binance Coin,0.1,0.1,STRATBNB,B,3,,B-STRAT_BNB
BNB,STEEM,STEEMBNB,,STEEMBNB,STEEM,Binance Coin,0.1,0.1,STEEMBNB,B,,,B-STEEM_BNB
BTC,NPXS,NPXSBTC,,NPXSBTC,Pundi X,Bitcoin,1,1,NPXSBTC,B,1,,B-NPXS_BTC
BNB,AE,AEBNB,,AEBNB,Aeternity,Binance Coin,0.1,0.1,AEBNB,B,,,B-AE_BNB
USDT,EOSBULL,EOSBULLUSDT,,EOSBULLUSDT,3x Long EOS Token,Tether,1.00E-05,1.00E-05,EOSBULLUSDT,B,2,,B-EOSBULL_USDT
BNB,OST,OSTBNB,,OSTBNB,OST,Binance Coin,1,1,OSTBNB,B,,,B-OST_BNB
ETH,OAX,OAXETH,,OAXETH,openANX,Ethereum,1,1,OAXETH,B,5,,B-OAX_ETH
ETH,TNB,TNBETH,,TNBETH,Time New Bank,Ethereum,1,1,TNBETH,B,5,,B-TNB_ETH
BTC,HOT,HOTBTC,,HOTBTC,Holo,Bitcoin,1,1,HOTBTC,B,,,B-HOT_BTC
USDT,EOSBEAR,EOSBEARUSDT,,EOSBEARUSDT,3x Short EOS Token,Tether,1.00E-05,1.00E-05,EOSBEARUSDT,B,2,,B-EOSBEAR_USDT
ETH,MDA,MDAETH,,MDAETH,Moeda Loyalty Points,Ethereum,1,1,MDAETH,B,5,,B-MDA_ETH
INR,ICX,ICXINR,,ICXINR,ICON,Indian Rupee,0.01,0.01,ICXINR,B,,,B-ICX_INR
BNB,PHX,PHXBNB,,PHXBNB,Red Pulse Phoenix,Binance Coin,1,1,PHXBNB,B,,,B-PHX_BNB
BNB,BCPT,BCPTBNB,,BCPTBNB,BlockMason Credit Protocol,Binance Coin,1,1,BCPTBNB,B,,,B-BCPT_BNB
ETH,LEND,LENDETH,,LENDETH,ETHLend,Ethereum,1,1,LENDETH,B,4,,B-LEND_ETH
BTC,CTXC,CTXCBTC,,CTXCBTC,Cortex,Bitcoin,0.01,1,CTXCBTC,H,,,H-CTXC_BTC
XRP,XZC,XZCXRP,,XZCXRP,ZCoin,Ripple,0.001,0.001,XZCXRP,B,4,,B-XZC_XRP
ETH,ARK,ARKETH,,ARKETH,Ark,Ethereum,0.01,0.01,ARKETH,B,5,,B-ARK_ETH
ETH,GTO,GTOETH,,GTOETH,Gifto,Ethereum,1,1,GTOETH,B,3,,B-GTO_ETH
INR,TRX,TRXINR,,TRXINR,Tron,Indian Rupee,1,1,TRXINR,B,,,B-TRX_INR
ETH,POE,POEETH,,POEETH,Po.et,Ethereum,1,1,POEETH,B,5,,B-POE_ETH
TUSD,ATOM,ATOMTUSD,,ATOMTUSD,Cosmos,True USD,0.001,0.001,ATOMTUSD,B,,,B-ATOM_TUSD
INR,DNT,DNTINR,,DNTINR,district0x,Indian Rupee,1,1,DNTINR,B,,,B-DNT_INR
ETH,TUSD,TUSDETH,,TUSDETH,True USD,Ethereum,1,1,TUSDETH,B,5,,B-TUSD_ETH
ETH,SKY,SKYETH,,SKYETH,Skycoin,Ethereum,0.001,0.001,SKYETH,B,5,,B-SKY_ETH
USDC,XLM,XLMUSDC,,XLMUSDC,Stellar Lumens,USD Coin,0.1,0.1,XLMUSDC,B,,,B-XLM_USDC
USDT,GTO,GTOUSDT,,GTOUSDT,Gifto,Tether,0.1,0.1,GTOUSDT,B,,,B-GTO_USDT
USDT,WNXM,WNXMUSDT,,WNXMUSDT,Wrapped NXM,Tether,0.001,0.001,WNXMUSDT,B,2,,B-WNXM_USDT
BTC,HNT,HNTBTC,,HNTBTC,Helium,Bitcoin,0.01,0.01,HNTBTC,B,,,B-HNT_BTC
USDT,DASH,DASHUSDT,,DASHUSDT,Dash,Tether,1.00E-05,1.00E-05,DASHUSDT,B,4,,B-DASH_USDT
USDT,WRX,WRXUSDT,,WRXUSDT,Wazirx Token,Tether,0.1,0.1,WRXUSDT,B,2,2,B-WRX_USDT
BTC,DGB,DGBBTC,,DGBBTC,DigiByte,Bitcoin,1,1,DGBBTC,B,,,B-DGB_BTC
ETH,XEM,XEMETH,,XEMETH,NEM,Ethereum,1,1,XEMETH,B,2,,B-XEM_ETH
ETH,BRD,BRDETH,,BRDETH,Bread,Ethereum,1,1,BRDETH,B,1,,B-BRD_ETH
USDT,RUNE,RUNEUSDT,,RUNEUSDT,THORChain,Tether,0.01,0.01,RUNEUSDT,B,2,,B-RUNE_USDT
BTC,PERL,PERLBTC,,PERLBTC,Perlin,Bitcoin,1,1,PERLBTC,B,1,2,B-PERL_BTC
BNB,SOL,SOLBNB,,SOLBNB,Solana,Binance Coin,0.1,0.1,SOLBNB,B,1,,B-SOL_BNB
BTC,SAND,SANDBTC,,SANDBTC,The Sandbox,Bitcoin,1,1,SANDBTC,B,,,B-SAND_BTC
BTC,IOST,IOSTBTC,,IOSTBTC,IOSToken,Bitcoin,1,1,IOSTBTC,B,4,2,B-IOST_BTC
BTC,BQX,BQXBTC,,BQXBTC,Voyager,Bitcoin,1,1,BQXBTC,B,1,,B-BQX_BTC
USDT,KEY,KEYUSDT,,KEYUSDT,Selfkey,Tether,1,1,KEYUSDT,B,2,,B-KEY_USDT
USDT,EGLD,EGLDUSDT,,EGLDUSDT,Elrond eGold,Tether,0.001,0.001,EGLDUSDT,B,5,,B-EGLD_USDT
BTC,XMR,XMRBTC,,XMRBTC,Monero,Bitcoin,0.001,0.001,XMRBTC,B,5,2,B-XMR_BTC
BNB,COTI,COTIBNB,,COTIBNB,COTI,Binance Coin,1,1,COTIBNB,B,1,,B-COTI_BNB
USDT,BAT,BATUSDT,,BATUSDT,Basic Attention Token,Tether,0.01,0.01,BATUSDT,B,4,2,B-BAT_USDT
BTC,NAV,NAVBTC,,NAVBTC,NavCoin,Bitcoin,1,1,NAVBTC,B,1,,B-NAV_BTC
BTC,RDN,RDNBTC,,RDNBTC,Raiden Network Token,Bitcoin,1,1,RDNBTC,B,1,,B-RDN_BTC
USDT,SAND,SANDUSDT,,SANDUSDT,The Sandbox,Tether,1,1,SANDUSDT,B,,,B-SAND_USDT
BNB,SC,SCBNB,,SCBNB,Siacoin,Binance Coin,1,1,SCBNB,B,,,B-SC_BNB
TUSD,BNB,BNBTUSD,,BNBTUSD,Binance Coin,True USD,0.01,0.01,BNBTUSD,B,,,B-BNB_TUSD
BTC,NEO,NEOBTC,,NEOBTC,NEO,Bitcoin,0.01,0.01,NEOBTC,B,4,2,B-NEO_BTC
USDT,COCOS,COCOSUSDT,,COCOSUSDT,Cocos-BCX,Tether,0.01,0.01,COCOSUSDT,B,1,,B-COCOS_USDT
BTC,BCPT,BCPTBTC,,BCPTBTC,BlockMason Credit Protocol,Bitcoin,1,1,BCPTBTC,B,1,,B-BCPT_BTC
BTC,ZEN,ZENBTC,,ZENBTC,Horizen,Bitcoin,0.01,0.01,ZENBTC,B,2,,B-ZEN_BTC
BTC,RVN,RVNBTC,,RVNBTC,Ravencoin,Bitcoin,1,1,RVNBTC,B,2,2,B-RVN_BTC
BNB,NMR,NMRBNB,,NMRBNB,Numeraire,Binance Coin,0.01,0.01,NMRBNB,B,,,B-NMR_BNB
USDT,VET,VETUSDT,,VETUSDT,VeChain,Tether,1,1,VETUSDT,B,6,,B-VET_USDT
BTC,XTZ,XTZBTC,,XTZBTC,Tezos,Bitcoin,0.01,0.01,XTZBTC,B,4,2,B-XTZ_BTC
ETH,XRP,XRPETH,,XRPETH,Ripple,Ethereum,1,1,XRPETH,B,4,2,B-XRP_ETH
